Date,Time,Sensor,TempC
2018-03-31,21:49:01,Chris's Sensor,23.062
2018-03-31,21:50:01,Chris's Sensor,23.062
2018-03-31,21:51:01,Chris's Sensor,23.0
2018-03-31,21:52:01,Chris's Sensor,23.0
2018-03-31,21:53:01,Chris's Sensor,23.0
2018-03-31,21:54:01,Chris's Sensor,23.0
2018-03-31,21:55:01,Chris's Sensor,23.062
2018-03-31,21:56:01,Chris's Sensor,23.0
2018-03-31,21:57:01,Chris's Sensor,23.0
2018-03-31,21:58:01,Chris's Sensor,23.0
2018-03-31,21:59:01,Chris's Sensor,23.0
2018-03-31,22:00:01,Chris's Sensor,23.0
2018-03-31,22:01:01,Chris's Sensor,23.0
2018-03-31,22:02:01,Chris's Sensor,23.0
2018-03-31,22:03:01,Chris's Sensor,23.0
2018-03-31,22:04:01,Chris's Sensor,23.062
2018-03-31,22:05:01,Chris's Sensor,23.062
2018-03-31,22:06:01,Chris's Sensor,23.062
2018-03-31,22:07:01,Chris's Sensor,23.062
2018-03-31,22:08:01,Chris's Sensor,23.0
2018-03-31,22:09:01,Chris's Sensor,23.062
2018-03-31,22:10:01,Chris's Sensor,23.062
2018-03-31,22:11:01,Chris's Sensor,23.062
2018-03-31,22:12:02,Chris's Sensor,23.062
2018-03-31,22:13:02,Chris's Sensor,23.062
2018-03-31,22:14:02,Chris's Sensor,23.062
2018-03-31,22:15:01,Chris's Sensor,23.062
2018-03-31,22:16:01,Chris's Sensor,23.062
2018-03-31,22:17:01,Chris's Sensor,23.062
2018-03-31,22:18:01,Chris's Sensor,23.062
2018-03-31,22:19:01,Chris's Sensor,23.062
2018-03-31,22:20:01,Chris's Sensor,23.062
2018-03-31,22:21:01,Chris's Sensor,23.062
2018-03-31,22:22:01,Chris's Sensor,23.0
2018-03-31,22:23:01,Chris's Sensor,23.0
2018-03-31,22:24:01,Chris's Sensor,23.0
2018-03-31,22:25:01,Chris's Sensor,23.062
2018-03-31,22:26:01,Chris's Sensor,23.062
2018-03-31,22:27:01,Chris's Sensor,23.062
2018-03-31,22:28:01,Chris's Sensor,23.0
2018-03-31,22:29:01,Chris's Sensor,23.0
2018-03-31,22:30:01,Chris's Sensor,23.0
2018-03-31,22:31:01,Chris's Sensor,23.0
2018-03-31,22:32:02,Chris's Sensor,23.0
2018-03-31,22:33:02,Chris's Sensor,23.0
2018-03-31,22:34:01,Chris's Sensor,22.937
2018-03-31,22:35:01,Chris's Sensor,22.875
2018-03-31,22:36:02,Chris's Sensor,22.875
2018-03-31,22:37:01,Chris's Sensor,22.875
2018-03-31,22:38:01,Chris's Sensor,22.875
2018-03-31,22:39:01,Chris's Sensor,22.875
2018-03-31,22:40:01,Chris's Sensor,22.875
2018-03-31,22:41:01,Chris's Sensor,22.875
2018-03-31,22:42:01,Chris's Sensor,22.75
2018-03-31,22:43:01,Chris's Sensor,22.812
2018-03-31,22:44:01,Chris's Sensor,22.812
2018-03-31,22:45:01,Chris's Sensor,22.812
2018-03-31,22:46:01,Chris's Sensor,22.812
2018-03-31,22:47:02,Chris's Sensor,22.75
2018-03-31,22:48:02,Chris's Sensor,22.75
2018-03-31,22:49:02,Chris's Sensor,22.75
2018-03-31,22:50:01,Chris's Sensor,22.75
2018-03-31,22:51:01,Chris's Sensor,22.75
2018-03-31,22:52:01,Chris's Sensor,22.75
2018-03-31,22:53:01,Chris's Sensor,22.75
2018-03-31,22:54:01,Chris's Sensor,22.687
2018-03-31,22:55:01,Chris's Sensor,22.687
2018-03-31,22:56:01,Chris's Sensor,22.687
2018-03-31,22:57:01,Chris's Sensor,22.687
2018-03-31,22:58:01,Chris's Sensor,22.687
2018-03-31,22:59:01,Chris's Sensor,22.687
2018-03-31,23:00:01,Chris's Sensor,22.687
2018-03-31,23:01:01,Chris's Sensor,22.687
2018-03-31,23:02:01,Chris's Sensor,22.625
2018-03-31,23:03:01,Chris's Sensor,22.687
2018-03-31,23:04:02,Chris's Sensor,22.625
2018-03-31,23:05:01,Chris's Sensor,22.625
2018-03-31,23:06:01,Chris's Sensor,22.625
2018-03-31,23:07:01,Chris's Sensor,22.625
2018-03-31,23:08:01,Chris's Sensor,22.625
2018-03-31,23:09:01,Chris's Sensor,22.625
2018-03-31,23:10:01,Chris's Sensor,22.625
2018-03-31,23:11:01,Chris's Sensor,22.625
2018-03-31,23:12:01,Chris's Sensor,22.562
2018-03-31,23:13:01,Chris's Sensor,22.562
2018-03-31,23:14:01,Chris's Sensor,22.562
2018-03-31,23:15:01,Chris's Sensor,22.562
2018-03-31,23:16:01,Chris's Sensor,22.562
2018-03-31,23:17:02,Chris's Sensor,22.562
2018-03-31,23:18:02,Chris's Sensor,22.562
2018-03-31,23:19:01,Chris's Sensor,22.5
